sifra,naslov,avtor,cena_v_evrih,stevilo_strani,dimenzije,leto_izdaje,prevajalec,vezava,zalozba
012931,Petdeset odtenkov svobode (Žepna knjiga),E L James,14.9,608,13 x 19 cm,2012,Alenka Perger,žepna,"Učila International, d.o.o."
005996,"&Scaron;KOT, KI ME JE RE&Scaron;IL (Trda vezava)",Hannah Howell,32.9,304,130 x 195 x 27,2018,Katja Bizjak,trda,"Učila International, d.o.o."
011999,Petdeset odtenkov - komplet Žepnih knjig,E L James,19.99,1500,13 x 19 cm,2012,0,mehka,"Učila International, d.o.o."
013658,TEMAČNI MOŽ (Žepna knjiga),Jens Henrik Jensen,14.9,432,125 x 190 x 31,2018,Mateja Malnar &Scaron;tembal,mehka,"Učila International, d.o.o."
004431,TEMAČNI MOŽ (Trda vezava),Jens Henrik Jensen,34.9,432,130 x 195 x 35,2018,Mateja Malnar &Scaron;tembal,trda,"Učila International, d.o.o."
004403,USODA - SERIJA ČUTNOST 5 (Trda vezava),Audrey Carlan,29.9,268,130 x 195 x 24,2018,Mojca Svetičič,trda,"Učila International, d.o.o."
013673,NE ODNEHAJ (Žepna knjiga),Harlan Coben,12.9,314,125 x 190 x 22,2018,Miro Mrak,mehka,"Učila International, d.o.o."
005965,OBSEDENOST (Trda vezava),Helen Hardt,32.9,284,130 x 195 x 26,2018,Ma&scaron;a Sitar,trda,"Učila International, d.o.o."
013651,HOČEM TE (Žepna knjiga),Katy Evans,10.9,254,125 x 190 x 19 mm,2018,Lidija Kreft,mehka,"Učila International, d.o.o."
006012,RAZBITO KRALJESTVO (Trda vezava),Erin Watt,32.9,328,130 x 195 x 29 mm,2018,Eva Žerjav,trda,"Učila International, d.o.o."
005993,ŽVIŽGAČI (Trda vezava),John Grisham,34.9,356,130 x 195 x 30 mm,2018,Darja Divjak,trda,"Učila International, d.o.o."
004452,KRALJEVSKO HREPENENJE (Trda vezava),Geneva Lee,28.9,240,130 x 195 x 21,2018,Mojca Svetičič,trda,"Učila International, d.o.o."
013650,PREDAJA V VI&Scaron;AVJU (Žepna knjiga),Tracy Brogan,12.9,318,125 x 190 x 26,2018,Katja Jeraj Valentinčič,mehka,"Učila International, d.o.o."
013664,OBSEDENOST (Žepna knjiga),Helen Hardt,10.9,284,125 x 190 x 21,2018,Ma&scaron;a Sitar,mehka,"Učila International, d.o.o."
006020,SONČNI ZAHOD V CENTRALNEM PARKU (Trda vezava),Sarah Morgan,32.9,336,130 x 195 x 28,2018,Neža Kralj,trda,"Učila International, d.o.o."
006041,SRČNI PLEMIČ  (Trda vezava),Elizabeth Hoyt,32.9,298,130 x 195 x 26 mm,2018,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
005970,PREDAJA V VI&Scaron;AVJU (Trda vezava),Tracy Brogan,34.9,366,130 x 195 x 31,2018,Katja Jeraj Valentinčič,trda,"Učila International, d.o.o."
006005,S TEM MO&Scaron;KIM (Trda vezava),Jodi Ellen Malpas,36.9,456,130 x 195 x 37 mm,2018,Petra Brecelj,trda,"Učila International, d.o.o."
013649,S TEM MO&Scaron;KIM (Žepna knjiga),Jodi Ellen Malpas,14.9,398,125 x 190 x 33,2018,Petra Brecelj,mehka,"Učila International, d.o.o."
013258,GREY &ndash; PETDESET ODTENKOV 4 (Žepna knjiga),E. L. James,14.9,560,125 x 190 x 44 mm,2015,Marko Bogataj,broširana,"Učila International, d.o.o."
013674,NIKOLI NI PREPOZNO (Žepna knjiga),Jude Deveraux,14.9,422,125 x 190 x 30,2018,Ida Sternad,mehka,"Učila International, d.o.o."
013661,MOGUL (Žepna knjiga),Joanna Shupe,12.9,334,125 x 190 x 24,2018,Irena Furlan,mehka,"Učila International, d.o.o."
013671,SRČNI PLEMIČ (Žepna knjiga),Elizabeth Hoyt,10.9,298,125 x 190 x 22,2018,Katja Jeraj Valentinčič,mehka,"Učila International, d.o.o."
006010,PREPOVEDAN (Trda vezava),Jodi Ellen Malpas,34.9,344,130 x 195 x 30,2018,Lidija Kreft,trda,"Učila International, d.o.o."
013660,KRALJEVSKO HREPENENJE (Žepna knjiga),Geneva Lee,10.9,240,125 x 190 x 17,2018,Mojca Svetičič,mehka,"Učila International, d.o.o."
